last_name,first_name,davenport_id,mlb_id,retrosheet_id,lahman_id,bbref_id,bats,throws
Fuentes,Tito,FUENTES19440104A,114470,fuent101,fuentti01,fuentti01,B,R
Fuhrman,Ollie,FUHRMAN18960720A,114472,fuhro101,fuhrmol01,fuhrmol01,B,R
Fuhr,Oscar,FUHR18930822A,114471,fuhro102,fuhros01,fuhros01,L,L
Fujikawa,Kyuji,FUJIKAWA00000000A,493117,fujik001,fujikky01,fujikky01,L,R
Fukudome,Kosuke,FUKUDOME00000000A,493120,fukuk001,fukudko01,fukudko01,L,R
Fukumori,Kazuo,FUKUMORI00000000A,506429,fukuk002,fukumka01,fukumka01,R,R
Fulchino,Jeff,FULCHINO19791126A,445246,fulcj001,fulchje01,fulchje01,R,R
Fuld,Sam,FULD19811120A,453539,fulds001,fuldsa01,fuldsa01,L,L
Fulghum,Dot,FULGHUM19000704A,114474,fulgd101,fulghdo01,fulghdo01,R,R
Fulgham,John,FULGHAM19560609A,114473,fulgj101,fulghjo01,fulghjo01,R,R
Fullmer,Brad,FULLMER19750117A,114485,fullb001,fullmbr01,fullmbr01,L,R
Fullis,Chick,FULLIS19040227A,114484,fullc101,fullich01,fullich01,R,R
Fullerton,Curt,FULLERTON18980913A,114483,fullc102,fullecu01,fullecu01,L,R
Fuller,Ed,FULLER18680322A,114476,fulle101,fulleed01,fulleed01,R,R
Fuller,Frank,FULLER18930101A,114477,fullf101,fullefr01,fullefr01,B,R
Fuller,Harry,FULLER18621205A,114478,fullh101,fulleha01,fulleha01,,
Fuller,John,FULLER19500129A,114480,fullj101,fullejo01,fullejo01,L,L
Fuller,Jim,FULLER19501128A,114479,fullj102,fulleji01,fulleji01,R,R
Fuller,Nig,FULLER18780330A,114475,fulln101,fulleni01,fulleni01,R,R
Fuller,Shorty,FULLER18671010A,114482,fulls101,fullesh01,fullesh01,R,R
Fuller,Vern,FULLER19440301A,114481,fullv101,fulleve01,fulleve01,R,R
Fulmer,Chris,FULMER18580704A,114487,fulmc101,fulmech02,fulmech02,R,R
Fulmer,Chick,FULMER18510212A,114486,fulmc102,fulmech01,fulmech01,R,R
Fulmer,Washington,FULMER18400615A,114488,fulmw101,fulmewa01,fulmewa01,,
Fultz,Aaron,FULTZ19730904A,150269,fulta001,fultzaa01,fultzaa01,L,L
Fulton,Bill,FULTON19631022A,114489,fultb001,fultobi01,fultobi01,R,R
Fultz,Dave,FULTZ18750529A,114490,fultd101,fultzda01,fultzda01,R,R
Funderburk,Mark,FUNDERBUR19570516A,114491,fundm001,fundema01,fundema01,R,R
Funk,Frank,FUNK19350830A,114493,funkf101,funkfr01,funkfr01,R,R
Funk,Liz,FUNK19041028A,114492,funkl101,funkli01,funkli01,L,L
Funk,Tom,FUNK19620313A,114494,funkt001,funkto01,funkto01,L,L
Furbush,Charlie,FURBUSH19860411A,518703,furbc001,furbuch01,furbuch01,L,L
Furcal,Rafael,FURCAL19771024A,279577,furcr001,furcara01,furcara02,B,R
Furillo,Carl,FURILLO19220308A,114495,furic101,furilca01,furilca01,R,R
Furmaniak,J.J.,FURMANIAK19790731A,434583,furmj001,furmajj01,furmajj01,R,R
Fussell,Chris,FUSSELL19760519A,136728,fussc001,fussech01,fussech01,R,R
Fusselback,Eddie,FUSSELBAC18560717A,114496,fusse101,fusseed01,fusseed01,R,
Fussell,Fred,FUSSELL18951007A,114497,fussf101,fussefr01,fussefr01,L,L
Fusselman,Les,FUSSELMAN19210307A,114498,fussl101,fussele01,fussele01,R,R
Fyhrie,Mike,FYHRIE19691209A,114499,fyhrm001,fyhrimi01,fyhrimi01,R,R
